date,latitude,longitude,depth,mag,net,updated,place,country,depthError
2006-04-04T22:05:05.080Z,37.64,20.962,16.8,5.5,us,2020-02-06T20:55:44.080Z,Ionian Sea,,5.7
2005-10-18T15:26:00.260Z,37.622,20.918,14.3,5.7,us,2020-02-06T20:52:13.927Z,Ionian Sea,,
2005-01-31T01:05:33.560Z,37.535,20.155,31.9,5.7,us,2016-11-10T01:00:36.838Z,Ionian Sea,,4.3
2008-08-27T21:52:38.110Z,32.308,47.35,10,5.8,us,2020-01-04T06:29:18.479Z,Iran-Iraq border region,,
2001-03-23T05:24:11.940Z,32.951,46.625,33,5.5,us,2020-01-04T00:53:34.218Z,Iran-Iraq border region,,
2012-01-01T05:27:55.980Z,31.456,138.072,365.3,6.8,us,2015-06-30T16:59:03.922Z,Izu Islands, Japan region,2.7
2007-04-01T02:51:05.300Z,32.349,137.607,378.5,5.7,us,2016-11-10T01:37:36.957Z,Izu Islands, Japan region,
2006-03-28T13:32:47.620Z,31.713,137.746,401,5.9,us,2016-11-10T00:20:31.887Z,Izu Islands, Japan region,
2004-11-08T15:07:24.500Z,33.721,138.403,10,5.6,us,2016-11-10T00:51:22.591Z,Izu Islands, Japan region,
2011-05-10T15:26:04.610Z,43.292,130.938,544.6,5.7,us,2020-01-04T09:03:22.204Z,Jilin-Heilongjiang border region, China,
2002-06-28T17:19:30.270Z,43.752,130.666,566,7.3,us,2020-01-04T01:44:09.765Z,Jilin-Heilongjiang border region, China,
2006-09-11T18:12:22.330Z,35.472,78.225,14.9,5.5,us,2016-11-10T01:28:10.016Z,Kashmir-Xinjiang border region,,
2003-12-01T01:38:31.960Z,42.905,80.515,10,6,us,2020-01-04T02:52:31.645Z,Kazakhstan-Xinjiang border region,,
2002-04-24T10:51:50.930Z,42.436,21.466,10,5.7,us,2020-01-04T01:36:51.918Z,Kosovo,,
2011-07-19T19:35:43.480Z,40.081,71.41,20,6.1,us,2020-01-04T09:12:53.631Z,Kyrgyzstan,Kyrgyzstan,
2010-12-08T08:21:33.530Z,39.358,72.86,10,5.5,us,2020-01-04T08:27:37.534Z,Kyrgyzstan,Kyrgyzstan,
2008-10-05T15:52:49.400Z,39.533,73.824,27.4,6.7,us,2020-01-04T06:34:12.383Z,Kyrgyzstan,Kyrgyzstan,
2008-01-01T06:32:27.960Z,40.288,72.985,6,5.6,us,2020-02-06T21:02:18.257Z,Kyrgyzstan,Kyrgyzstan,
2007-01-08T17:21:49.910Z,39.803,70.312,16,6,us,2020-01-04T05:01:46.417Z,Kyrgyzstan,Kyrgyzstan,
2006-12-25T20:01:00.450Z,42.156,76.163,11.6,5.8,us,2020-01-04T05:00:07.414Z,Kyrgyzstan,Kyrgyzstan,
2003-05-22T18:11:56.980Z,42.946,72.764,33,5.5,us,2020-01-04T02:26:43.026Z,Kyrgyzstan,Kyrgyzstan,
2002-09-05T11:03:05.850Z,39.77,72.007,31.6,5.5,us,2020-01-04T01:50:07.525Z,Kyrgyzstan,Kyrgyzstan,6.7
2008-10-05T16:11:10.420Z,39.508,73.888,35,5.6,us,2020-01-04T06:34:44.493Z,Kyrgyzstan-Tajikistan-Xinjiang border region,,
2005-02-14T23:38:08.660Z,41.728,79.44,22,6.1,us,2020-01-04T03:44:26.093Z,Kyrgyzstan-Xinjiang border region,,
2009-04-05T09:36:26.240Z,32.007,131.417,26,5.8,us,2020-01-04T06:53:56.852Z,Kyushu, Japan,
2006-06-11T20:01:26.350Z,33.134,131.145,140,6.3,us,2020-02-06T20:57:51.122Z,Kyushu, Japan,
2005-04-19T21:11:28.420Z,33.637,130.179,18.7,5.5,us,2020-02-06T20:48:31.780Z,Kyushu, Japan,
2005-03-20T01:53:41.830Z,33.807,130.131,10,6.6,us,2020-02-06T20:47:53.780Z,Kyushu, Japan,
2008-08-27T01:35:32.150Z,51.607,104.158,16,6.3,us,2020-01-04T06:28:30.154Z,Lake Baykal region, Russia,
2003-09-16T11:24:52.220Z,56.062,111.255,10,5.6,us,2020-01-04T02:43:43.617Z,Lake Baykal region, Russia,
2005-10-20T21:40:04.090Z,38.152,26.751,10,5.9,us,2020-02-06T20:52:39.605Z,near the coast of western Turkey,,
2005-10-17T09:46:53.900Z,38.2,26.5,10.4,5.8,us,2020-02-06T20:52:01.379Z,near the coast of western Turkey,,
2005-10-17T05:45:16.000Z,38.131,26.505,8.1,5.5,us,2020-02-06T20:51:45.650Z,near the coast of western Turkey,,
2003-04-10T00:40:15.110Z,38.221,26.958,10,5.8,us,2020-02-06T20:29:12.155Z,near the coast of western Turkey,,
2011-08-01T14:58:09.060Z,34.631,138.433,13,5.9,us,2017-04-26T18:12:26.514Z,near the south coast of Honshu, Japan,
2009-08-10T20:07:09.110Z,34.743,138.264,40.4,6.2,us,2020-01-04T07:05:20.286Z,near the south coast of Honshu, Japan,6
2009-08-09T10:55:55.110Z,33.167,137.944,292,7.1,us,2020-01-04T07:04:42.566Z,near the south coast of Honshu, Japan,
2005-02-22T11:20:25.280Z,33.182,137.154,369.5,5.6,us,2016-11-10T01:01:47.822Z,near the south coast of Honshu, Japan,3.7
2004-09-08T14:58:25.830Z,33.14,137.2,21.2,6.1,us,2016-11-10T00:45:25.498Z,near the south coast of Honshu, Japan,9.2
2004-09-07T18:36:20.270Z,33.237,137.092,10,5.6,us,2016-11-10T00:45:21.063Z,near the south coast of Honshu, Japan,
2004-09-06T23:29:35.090Z,33.205,137.227,10,6.6,us,2020-02-06T20:40:15.042Z,near the south coast of Honshu, Japan,
2004-09-05T14:57:18.610Z,33.184,137.071,10,7.4,us,2020-02-06T20:39:57.681Z,near the south coast of Honshu, Japan,
2003-11-12T08:26:43.740Z,33.171,137.072,384.9,6.4,us,2016-11-10T00:51:47.504Z,near the south coast of Honshu, Japan,
2003-01-18T19:50:28.420Z,33.941,137.183,33,5.5,us,2020-01-04T02:10:02.720Z,near the south coast of Honshu, Japan,
2007-08-01T08:16:00.180Z,33.905,136.613,370.5,5.5,us,2016-11-10T00:21:11.548Z,near the south coast of western Honshu, Japan,
2006-08-21T22:20:49.480Z,33.631,135.825,411.2,5.5,us,2020-01-04T04:46:39.287Z,near the south coast of western Honshu, Japan,
2004-09-10T02:05:57.830Z,33.059,136.497,10,5.6,us,2016-11-10T00:45:30.204Z,near the south coast of western Honshu, Japan,
2004-09-05T20:30:59.810Z,33.247,136.804,10,5.7,us,2016-11-10T00:45:03.693Z,near the south coast of western Honshu, Japan,
2004-09-05T10:07:07.820Z,33.07,136.618,14,7.2,us,2020-02-06T20:39:31.460Z,near the south coast of western Honshu, Japan,
2011-03-11T18:59:16.540Z,37.014,138.376,9.3,6.2,us,2020-01-04T08:48:14.612Z,near the west coast of Honshu, Japan,4.7
2007-07-16T06:37:40.430Z,37.502,138.467,15.1,5.7,us,2020-01-04T05:27:46.281Z,near the west coast of Honshu, Japan,
2007-07-16T01:13:22.370Z,37.535,138.446,12,6.6,us,2020-02-06T21:00:43.156Z,near the west coast of Honshu, Japan,
2007-03-25T00:41:57.820Z,37.336,136.588,8,6.7,us,2020-02-06T20:59:51.959Z,near the west coast of Honshu, Japan,
2010-07-30T13:50:12.570Z,35.221,59.317,19,5.5,us,2020-01-04T08:12:55.202Z,northeastern Iran,Iran,
2010-08-27T19:23:49.500Z,35.49,54.47,7,5.8,us,2020-01-04T08:16:23.951Z,northern Iran,Iran,
2004-05-28T12:38:44.470Z,36.29,51.61,17,6.3,us,2020-02-06T20:38:30.988Z,northern Iran,Iran,
2009-08-31T10:15:29.770Z,37.606,95.831,6,5.8,us,2020-01-04T07:07:53.029Z,northern Qinghai, China,
2009-08-28T02:16:08.040Z,37.679,95.767,16.4,5.6,us,2020-01-04T07:07:39.046Z,northern Qinghai, China,9
2009-08-28T02:14:56.190Z,37.646,95.709,4,5.6,us,2020-01-04T07:07:24.998Z,northern Qinghai, China,10.2
2009-08-28T01:52:06.640Z,37.696,95.718,13,6.3,us,2020-01-04T07:07:08.670Z,northern Qinghai, China,
2008-11-10T01:22:02.570Z,37.565,95.833,19,6.3,us,2020-01-04T06:39:12.591Z,northern Qinghai, China,
2004-05-10T23:27:25.490Z,37.485,96.604,10,5.6,us,2020-01-04T03:09:46.197Z,northern Qinghai, China,
